Tppt,Vendor_ID,Vendor_Name,Route,Shipping_Type,Shipping_Type_Name,Kapasitas,OA,Source,Destination
3003,20006020,"Tanjung Priok Indah Line (TPIL), PT",R00426,C1,Container 20 FT,29,"13,130,887",PTB,TM BALIKPAPAN-7118
3003,20003657,"Mitra Intertrans Forwarding - S, PT",R00426,C1,Container 20 FT,29,"13,500,000",PTB,TM BALIKPAPAN-7118
3003,20006024,PT TANTO INTIM LINE,R00426,C1,Container 20 FT,29,"13,850,000",PTB,TM BALIKPAPAN-7118
3003,20005055,PT Sarijasa Transutama,R00426,C1,Container 20 FT,29,"14,640,000",PTB,TM BALIKPAPAN-7118
3003,20011670,PT Global Logistic,R00426,C1,Container 20 FT,29,"15,100,000",PTB,TM BALIKPAPAN-7118
3003,20006254,PT Transporindo Agung Sejahtera,R00426,C1,Container 20 FT,29,"15,250,000",PTB,TM BALIKPAPAN-7118
3003,20002789,PT KAMADJAJA LOGISTICS,R00426,C1,Container 20 FT,29,"18,250,000",PTB,TM BALIKPAPAN-7118
3003,20006020,"Tanjung Priok Indah Line (TPIL), PT",R00426,C3,Container 40 FT HC,69,"23,566,711",PTB,TM BALIKPAPAN-7118
3003,20006024,PT TANTO INTIM LINE,R00426,C3,Container 40 FT HC,69,"24,550,000",PTB,TM BALIKPAPAN-7118
3003,20003657,"Mitra Intertrans Forwarding - S, PT",R00426,C3,Container 40 FT HC,69,"24,600,000",PTB,TM BALIKPAPAN-7118
3003,20005055,PT Sarijasa Transutama,R00426,C3,Container 40 FT HC,69,"27,600,000",PTB,TM BALIKPAPAN-7118
3003,20006254,PT Transporindo Agung Sejahtera,R00426,C3,Container 40 FT HC,69,"28,100,000",PTB,TM BALIKPAPAN-7118
3003,20011670,PT Global Logistic,R00426,C3,Container 40 FT HC,69,"28,500,000",PTB,TM BALIKPAPAN-7118
3003,20002789,PT KAMADJAJA LOGISTICS,R00426,C3,Container 40 FT HC,69,"29,950,000",PTB,TM BALIKPAPAN-7118
